Player.ID,Position,Date,15_sec_No_Jumps,15_sec_Contact,15_sec_Flight,15_sec_Hgt,CMJ.1,CMJ.2,R_Drift_Contact,R_Drift_Flight,R_Drift_Hgt,L_Drift_Contact,L_Drift_Flight,L_Drift_Hgt
251457,CB,4/15/19,20,0.247,0.533,13.8,18.7,18.9,0.526,0.4,7.8,0.482,0.397,7.6
203557,C,4/15/19,24,0.241,0.421,8.6,10.5,10.1,0.364,0.224,2.4,0.357,0.3,4.4
125643,T,4/15/19,19,0.339,0.479,11.1,15.1,13.9,0.554,0.302,4.4,0.577,0.286,3.9
191713,WR,4/15/19,21,0.228,0.501,12.1,17.1,18.8,0.312,0.401,7.8,0.379,0.302,4.8
247323,ILB,4/15/19,17,0.402,0.551,14.7,17.3,18.4,0.509,0.376,6.9,0.513,0.422,8.6
251968,RB,4/15/19,24,0.207,0.454,10,19.2,19.9,0.331,0.3,4.4,0.314,0.327,5.2
219819,OLB,4/15/19,21,0.26,0.484,11.4,18.9,19.2,0.317,0.362,6.3,0.346,0.356,6.1
243267,WR,4/15/19,20,0.255,0.534,13.8,17.5,17.3,0.468,0.408,8.1,0.466,0.384,7.1
147297,TE,4/15/19,22,0.225,0.488,11.5,16.3,17.5,0.401,0.37,6.6,0.349,0.343,5.7
267576,P,4/15/19,24,0.188,0.456,10,14,13.7,0.332,0.351,6,0.336,0.345,5.8
255797,TE,4/15/19,,,,,,,,,,,,
255319,ILB,4/15/19,25,0.212,0.422,8.6,19,18.6,0.383,0.334,5.4,0.36,0.312,4.7
228905,SS,4/15/19,22,0.271,0.423,8.8,18.7,19.5,0.542,0.38,7,0.442,0.36,6.3
238352,T,4/15/19,26,0.236,0.363,6.4,13.7,14,0.495,0.319,4.9,0.625,0.319,4.9
255214,CB,4/15/19,20,0.239,0.529,13.5,16.7,15.1,0.335,0.354,6.1,0.328,0.373,6.7
197087,G,4/15/19,,,,,,,,,,,,
255583,DT,4/15/19,23,0.259,0.407,8,14.3,13,0.476,0.277,3.7,0.382,0.308,4.6
267386,DE,4/15/19,22,0.275,0.438,9.3,18.2,17.3,0.598,0.358,6.2,0.51,0.384,7.1
255660,OLB,4/15/19,21,0.216,0.51,12.6,19.9,19.4,0.506,0.406,8,0.465,0.399,7.7
251462,CB,4/15/19,21,0.228,0.524,13.3,18.4,15.4,0.432,0.394,7.5,0.433,0.392,7.5
229162,C,4/15/19,19,0.339,0.474,10.9,15.5,11.1,0.548,0.326,5.2,0.548,0.346,5.8
243286,SS,4/15/19,,,,,,,,,,,,
226095,C,4/15/19,21,0.302,0.451,9.8,12,13.4,0.457,0.332,5.3,0.446,0.333,5.4
238371,T,4/15/19,19,0.358,0.474,10.9,13.6,12.8,0.381,0.334,5.4,0.416,0.336,5.5
140125,G,4/15/19,,,,,,,,,,,,
226658,DT,4/15/19,25,0.235,0.393,7.5,13.5,13.2,0.374,0.282,3.9,0.414,0.296,4.3
238495,DE,4/15/19,19,0.353,0.464,10.4,13.7,13,0.539,0.332,5.3,0.546,0.328,5.2
255202,T,4/15/19,21,0.298,0.447,9.7,12.4,12.8,0.438,0.306,4.5,0.421,0.292,4.1
253694,DE,4/15/19,25,0.198,0.433,9.1,12.8,13.6,0.425,0.306,4.6,0.379,0.325,5.1
174286,OLB,4/15/19,,,,,,,,,,,,
215709,CB,4/15/19,18,0.281,0.584,16.5,20.6,19.8,0.364,0.43,8.9,0.345,0.442,9.4
220975,WR,4/15/19,24,0.22,0.433,9.1,16.8,17.1,0.433,0.371,6.6,0.363,0.378,6.9
250427,FS,4/15/19,17,0.392,0.524,13.3,17,16.8,0.533,0.38,7,0.565,0.386,7.2
238395,QB,4/15/19,15,0.496,0.57,15.7,19,18.6,0.586,0.395,7.5,0.542,0.446,9.6
200574,DE,4/15/19,18,0.331,0.545,14.4,18.8,18.6,0.379,0.362,6.4,0.344,0.377,6.9
256270,DE,4/15/19,,,,,,,,,,,,
192508,SS,4/15/19,,,,,,,,,,,,
233282,RB,4/15/19,21,0.201,0.54,14.1,19.8,17.8,0.311,0.441,9.4,0.324,0.432,9
202245,DT,4/15/19,23,0.252,0.433,9.2,15.6,15.1,0.407,0.313,4.7,0.432,0.312,4.7
197077,OLB,4/15/19,24,0.196,0.453,10,18.4,18.8,0.258,0.275,3.7,0.266,0.25,3.1
244748,WR,4/15/19,,,,,,,,,,,,
195069,K,4/15/19,22,0.208,0.513,12.7,18.6,18.8,0.498,0.426,8.8,0.433,0.445,9.6
255609,T,4/15/19,23,0.266,0.423,8.7,11.9,11.7,0.428,0.307,4.6,0.434,0.293,4.1
221248,DE,4/15/19,18,0.348,0.517,12.9,16.1,15.6,0.582,0.354,6.1,0.501,0.345,5.8
199319,SN,4/15/19,20,0.269,0.499,12,15.5,15,0.393,0.378,6.9,0.397,0.388,7.3
256243,RB,4/15/19,,,,,,,,,,,,
238490,G,4/15/19,15,0.521,0.501,12.2,16.9,17.1,0.421,0.35,5.9,0.402,0.352,6
238537,RB,4/15/19,21,0.228,0.527,13.4,13.2,15.7,0.345,0.396,7.6,0.349,0.38,7
233012,DT,4/15/19,20,0.338,0.429,8.9,12.9,13.3,0.508,0.296,4.2,0.54,0.304,4.5
233511,CB,4/15/19,21,0.197,0.56,15.1,19.3,20.8,0.511,0.453,9.9,0.367,0.411,8.2
231037,WR,4/15/19,20,0.213,0.566,15.5,18.2,17.5,0.298,0.386,7.2,0.294,0.379,6.9
242650,G,4/15/19,23,0.287,0.39,7.4,12.6,11.7,0.473,0.294,4.2,0.506,0.298,4.3
256385,RB,4/15/19,17,0.365,0.586,16.6,19.2,18.2,0.524,0.446,9.6,0.524,0.426,8.9
256351,WR,4/15/19,,,,,,,,,,,,
250727,G,4/15/19,,,,,,,,,,,,
244911,TE,4/15/19,17,0.463,0.487,11.5,13.9,14.5,0.496,0.333,5.4,0.535,0.314,4.7
254758,CB,4/15/19,27,0.179,0.397,7.6,19.6,17.5,0.322,0.356,6.1,0.327,0.354,6.1
245499,FS,4/15/19,22,0.204,0.504,12.3,16.5,18.4,0.332,0.385,7.2,0.305,0.381,7
172493,CB,4/15/19,0,,,,21.5,20.5,0.465,0.442,9.5,0.454,0.422,8.6
253852,WR,4/15/19,21,0.215,0.53,13.6,18.1,16.9,0.257,0.302,4.5,0.289,0.363,6.4
232568,TE,4/15/19,19,0.364,0.474,10.8,13,12.9,0.422,0.346,5.8,0.423,0.368,6.5
175238,ILB,4/15/19,,,,,,,,,,,,
172833,QB,4/15/19,22,0.217,0.493,11.8,14,15.4,0.312,0.301,4.4,0.3,0.317,4.9
159048,OLB,4/15/19,,,,,,,,,,,,
267600,FS,5/2/19,20,0.281,0.498,12,16.3,16.8,0.585,0.428,8.9,0.604,0.364,6.4
270716,OLB,5/2/19,19,0.282,0.558,15,18.6,19.6,0.358,0.4,7.7,0.393,0.395,7.5
268234,OLB,5/2/19,15,0.497,0.576,16,18.4,17.7,0.441,0.379,6.9,0.421,0.394,7.5
274943,RB,5/2/19,15,0.455,0.579,16.2,18,18.7,0.585,0.428,8.9,0.604,0.364,6.4
268194,QB,5/2/19,20,0.276,0.515,12.8,17.8,16.6,0.493,0.402,7.8,0.361,0.356,6.1
254467,DT,5/2/19,20,0.333,0.46,10.2,15.2,15,0.48,0.343,5.7,0.551,0.336,5.5
256263,DE,5/2/19,15,0.545,0.538,14,18.6,14.5,0.605,0.287,4,0.597,0.318,4.9
269415,TE,5/2/19,20,0.276,0.518,13,19.5,18.1,0.556,0.374,6.8,0.474,0.343,5.7
254062,SS,5/2/19,14,0.509,0.588,16.7,18.9,18.8,0.285,0.396,7.6,0.302,0.404,7.9
267986,G,5/2/19,16,0.464,0.489,11.5,12.2,13.3,0.553,0.274,3.6,0.499,0.296,4.2
245315,TE,5/2/19,15,0.47,0.565,15.4,17.5,17.1,0.573,0.421,8.5,0.584,0.397,7.6
268314,RB,5/2/19,18,0.297,0.596,17.2,22.2,21.8,0.377,0.425,8.8,0.42,0.405,7.9
267618,WR,5/2/19,18,0.296,0.575,16,18.9,16.5,0.427,0.414,8.3,0.441,0.415,8.3
270485,TE,5/2/19,19,0.266,0.578,16.2,18.6,18.4,0.317,0.381,7,0.315,0.372,6.7
279738,G,5/2/19,,,,,,,,,,,,
268317,WR,5/2/19,18,0.328,0.556,15,22.2,21.4,0.456,0.424,8.7,0.491,0.415,8.3
268689,CB,5/2/19,18,0.275,0.6,17.4,23.8,23.2,0.333,0.388,7.3,0.351,0.406,8
268103,WR,5/2/19,21,0.22,0.523,13.2,20.1,20.4,0.35,0.411,8.1,0.382,0.404,7.9
255797,TE,5/6/19,16,0.513,0.458,10.1,14.2,14.1,0.487,0.276,3.7,0.396,0.326,5.1
255797,TE,4/22/19,16,0.513,0.501,12.1,15.5,15.4,0.636,0.29,4.1,0.551,0.385,7.2
255797,TE,4/1/19,16,0.524,0.482,11.2,15,14.1,0.576,0.268,3.5,0.465,0.376,6.8
233282,RB,5/10/19,20,0.241,0.537,13.9,19.6,21.3,0.381,0.424,8.7,0.409,0.42,8.5
156561,DT,5/15/19,20,0.384,0.398,7.7,9,11.2,0.447,0.234,2.7,0.477,0.233,2.7
251968,RB,5/21/19,24,0.224,0.436,9.2,17.4,20.1,0.326,0.286,4,0.319,0.307,4.5
279738,G,5/21/19,28,0.277,0.272,3.6,13.9,13.4,0.392,0.184,1.7,0.456,0.198,1.9
254062,SS,5/22/19,16,0.447,0.523,13.2,14.4,14.8,0.4,0.256,3.2,0.382,0.34,5.6
255797,TE,5/27/19,16,0.472,0.511,12.6,16.1,16.5,0.471,0.325,5.1,0.501,0.373,6.7
172833,QB,6/10/19,23,0.228,0.456,10.1,16.2,16.3,0.371,0.329,5.2,0.341,0.332,5.3
238395,QB,6/10/19,15,0.544,0.526,13.4,16,18.4,0.474,0.385,7.2,0.503,0.388,7.3
190722,QB,6/10/19,21,0.249,0.506,12.4,15.4,15.5,0.373,0.354,6,0.354,0.367,6.5
251968,RB,6/10/19,31,0.253,0.251,3,13.8,13,0.329,0.207,2.1,0.308,0.2,2
256243,RB,6/10/19,26,0.2,0.403,7.9,17.8,15.6,0.319,0.238,2.8,0.296,0.311,4.7
233282,RB,6/10/19,,,,,,,,,,,,
238537,RB,6/10/19,21,0.287,0.442,9.4,12.8,12.3,0.381,0.325,5.1,0.399,0.309,4.6
268314,RB,6/10/19,18,0.285,0.602,17.5,22.8,22.7,0.409,0.436,9.2,0.459,0.452,9.9
256385,RB,6/10/19,17,0.369,0.549,14.5,19.4,19.4,0.454,0.346,5.8,0.458,0.387,7.3
271368,RB,6/10/19,18,0.299,0.55,14.7,23.5,21.9,0.352,0.391,7.4,0.45,0.282,3.9
274943,RB,6/10/19,,,,,,,,,,,,
166828,FB,6/10/19,23,0.255,0.417,8.4,14.8,15.6,0.353,0.285,3.9,0.373,0.35,5.9
244748,WR,6/10/19,16,0.413,0.564,15.4,18.9,19.6,0.418,0.455,10,0.448,0.429,8.9
268317,WR,6/10/19,17,0.361,0.573,15.9,22.3,21.3,0.501,0.404,7.9,0.5,0.395,7.5
